id,manufacturer,model
1,"﻿RAM/ראם","ראם 1500"
2,"﻿RAM/ראם","BAW"
3,"Denza/דנזה","N7"
4,"אאודי","100"
5,"אאודי","80"
6,"אאודי","A1"
7,"אאודי","A3"
8,"אאודי","A4"
9,"אאודי","A5"
10,"אאודי","A6"
11,"אאודי","A7"
12,"אאודי","A8"
13,"אאודי","E-tron"
14,"אאודי","E-tron GT"
15,"אאודי","E-tron Q4"
16,"אאודי","E-tron Q8"
17,"אאודי","Q2"
18,"אאודי","Q3"
19,"אאודי","Q4"
20,"אאודי","Q5"
21,"אאודי","Q7"
22,"אאודי","Q8"
23,"אאודי","R8"
24,"אאודי","RS3"
25,"אאודי","RS4"
26,"אאודי","RS5"
27,"אאודי","RS6"
28,"אאודי","RS7"
29,"אאודי","RSQ3"
30,"אאודי","RSQ8"
31,"אאודי","S3"
32,"אאודי","S4"
33,"אאודי","S5"
34,"אאודי","S6"
35,"אאודי","S7"
36,"אאודי","S8"
37,"אאודי","SQ5"
38,"אאודי","SQ7"
39,"אאודי","SQ8"
40,"אאודי","SQ8 e-tron"
41,"אאודי","TT"
42,"אבארט","124 ספיידר"
43,"אבארט","500"
44,"אבארט","500c"
45,"אבארט","595"
46,"אבארט","595c"
47,"אבארט","פונטו איבו"
48,"XPENG","G3i"
49,"XPENG","G6"
50,"XPENG","G9"
51,"XPENG","P5"
52,"XPENG","P7"
53,"אולדסמוביל","אומגה"
54,"אולדסמוביל","דלתא"
55,"אולדסמוביל","קטלס"
56,"אולדסמוביל","אורורה"
57,"אוטוביאנקי","Y10"
59,"אוסטין","מאסטרו"
60,"אוסטין","מונטגו"
61,"אוסטין","מטרו"
62,"אוסטין","מיני"
63,"אופל","אדם"
64,"אופל","אומגה"
65,"אופל","אינסיגניה"
66,"אופל","אסטרה"
67,"אופל","אסטרה החדשה"
68,"אופל","גרנדלנד X"
69,"אופל","וקטרה"
70,"אופל","זאפירה"
71,"אופל","טיגרה"
72,"אופל","מוקה"
73,"אופל","מוקה X"
74,"אופל","מריבה"
75,"אופל","פרונטרה"
76,"אופל","קדט"
77,"אופל","קורסה"
78,"אופל","קסקדה"
79,"אופל","קרוסלנד X"
80,"אופל","ויוארו ארוך"
81,"אופל","ויוארו קירור"
82,"אופל","ויוארו קצר"
83,"אופל","מובאנו"
84,"אופל","קומבו"
85,"איווקו","25S18"
86,"איווקו","35C15CHC"
87,"איווקו","35S16"
88,"איווקו","50C15"
89,"איווקו","50c14v"
90,"איווקו","C15D35"
91,"איווקו","דיילי החדשה"
92,"אורה / Ora","7"
93,"אורה / Ora","Funky Cat"
94,"אורה / Ora","איווייס"
95,"אורה / Ora","U5"
96,"אורה / Ora","U6"
97,"אינפיניטי","FX30 D"
98,"אינפיניטי","FX35"
99,"אינפיניטי","FX50"
100,"אינפיניטי","G37"
101,"אינפיניטי","Q30"
102,"אינפיניטי","Q50"
103,"אינפיניטי","Q60"
104,"אינפיניטי","Q70 / M37"
105,"אינפיניטי","QX30"
106,"אינפיניטי","QX50 / EX37"
107,"אינפיניטי","QX55"
108,"אינפיניטי","QX56"
109,"אינפיניטי","QX60"
110,"אינפיניטי","QX70 / FX37"
111,"איסוזו","טרופר ארוך"
112,"איסוזו","טרופר קצר"
113,"איסוזו","רודאו"
114,"איסוזו","2X4 D-MAX"
115,"איסוזו","4X4 D-MAX"
116,"איסוזו","איפון 2X4"
117,"איסוזו","איפון 4X4"
118,"איסוזו","אקסיום"
119,"איסוזו","טנדר"
120,"איסוזו","סומו"
121,"אל.טי.איי","TXT"
122,"אל.טי.איי","מונית זוטובוס"
123,"אל.טי.איי","אל.אי.וי.סי / LEVC"
124,"אל.טי.איי","TX"
125,"אל.טי.איי","e-Camper"
126,"אלפא רומיאו","145"
127,"אלפא רומיאו","146"
128,"אלפא רומיאו","147"
129,"אלפא רומיאו","156"
130,"אלפא רומיאו","159"
131,"אלפא רומיאו","164"
132,"אלפא רומיאו","166"
133,"אלפא רומיאו","33"
134,"אלפא רומיאו","4C"
135,"אלפא רומיאו","75"
136,"אלפא רומיאו","90"
137,"אלפא רומיאו","GT"
138,"אלפא רומיאו","GTV"
139,"אלפא רומיאו","בררה"
142,"אלפא רומיאו","טונלה"
143,"אלפא רומיאו","מיטו / MITO"
144,"אלפא רומיאו","סטלויו"
145,"אלפא רומיאו","ספיידר"
146,"אלפא רומיאו","159.3.2.JTS"
147,"אלפא רומיאו","סוד"
148,"אלפא רומיאו","ספרינט"
158,"אסטון מרטין","DB11"
159,"אסטון מרטין","DB12"
160,"אסטון מרטין","DB9"
161,"אסטון מרטין","DBS"
162,"אסטון מרטין","DBX"
163,"אסטון מרטין","ואנקוויש"
165,"אסטון מרטין","ראפיד"
166,"אלפין / ALPINE","A110"
167,"אלפין / ALPINE","ב.מ.וו"
168,"אלפין / ALPINE","I7"
169,"אלפין / ALPINE","IX"
170,"אלפין / ALPINE","M1"
171,"אלפין / ALPINE","M2"
172,"אלפין / ALPINE","M3"
173,"אלפין / ALPINE","M4"
174,"אלפין / ALPINE","M5"
175,"אלפין / ALPINE","M550"
176,"אלפין / ALPINE","M6"
177,"אלפין / ALPINE","M8"
178,"אלפין / ALPINE","X1"
179,"אלפין / ALPINE","X2"
180,"אלפין / ALPINE","X3"
181,"אלפין / ALPINE","X4"
182,"אלפין / ALPINE","X5"
183,"אלפין / ALPINE","X6"
184,"אלפין / ALPINE","X6M Competition"
185,"אלפין / ALPINE","X7"
186,"אלפין / ALPINE","XM"
187,"אלפין / ALPINE","Z3"
188,"אלפין / ALPINE","Z4"
189,"אלפין / ALPINE","i3"
190,"אלפין / ALPINE","i4"
191,"אלפין / ALPINE","i5"
192,"אלפין / ALPINE","i8"
193,"אלפין / ALPINE","iX1"
194,"אלפין / ALPINE","iX3"
195,"אלפין / ALPINE","סדרה 1"
196,"אלפין / ALPINE","סדרה 2"
197,"אלפין / ALPINE","סדרה 3"
198,"אלפין / ALPINE","סדרה 3 קופה / קבריולט"
199,"אלפין / ALPINE","סדרה 4"
200,"אלפין / ALPINE","סדרה 5"
201,"אלפין / ALPINE","סדרה 6"
202,"אלפין / ALPINE","סדרה 7"
203,"אלפין / ALPINE","סדרה 8"
204,"ביואיק","אנקלייב"
205,"ביואיק","לה סייבר"
206,"ביואיק","לה קרוס"
207,"ביואיק","לוצרן"
208,"ביואיק","פארק אבניו"
209,"ביואיק","ריביירה"
210,"ביואיק","רנדוו"
212,"ביואיק","ריגל"
213,"בי.ווי.די / BYD","DOLPHIN"
214,"בי.ווי.די / BYD","Seal EV"
215,"בי.ווי.די / BYD","אטו 3"
216,"בי.ווי.די / BYD","אטו 3 / ATTO 3"
217,"האן / HAN","טאנג"
218,"האן / HAN","HAN"
219,"אף. אי. דאבליו / FEW","E-HS9"
220,"בנטלי","BE53"
221,"בנטלי","בנטיאגה"
222,"בנטלי","פליינג ספור"
223,"בנטלי","קונטיננטל GT"
295,"גרייט וול","C10"
296,"גרייט וול","Cool Bear"
297,"גרייט וול","Florid"
298,"גרייט וול","Haval H6"
299,"גרייט וול","סטיד / Steed"
325,"דונגפנג","גלורי 580"
326,"דונגפנג","C31"
327,"דונגפנג","C32"
328,"דונגפנג","C35"
329,"דונגפנג","K01H"
330,"דונגפנג","KO1"
331,"דונגפנג","KO2"
332,"דונגפנג","KO5"
333,"די.אס / DS","DS3"
334,"די.אס / DS","DS3 Crossback / קרוסבק"
335,"די.אס / DS","DS3 קבריולט"
336,"די.אס / DS","DS4"
337,"די.אס / DS","DS5"
338,"די.אס / DS","DS7 Crossback / קרוסבק"
339,"דייהטסו","YRV"
340,"דייהטסו","אפלאוז"
341,"דייהטסו","גרנדמוב"
342,"דייהטסו","טריוס"
343,"דייהטסו","מאטריה"
344,"דייהטסו","סיריון"
345,"דייהטסו","פרוזה"
346,"דייהטסו","קורה"
347,"דייהטסו","שרייד"
348,"דייהטסו","שרמנט"
349,"דייהטסו","האמר"
350,"דייהטסו","H1"
351,"דייהטסו","H2"
352,"דייהטסו","H3"
353,"דייהו","אספרו"
354,"דייהו","טאקומה"
355,"דייהו","לאנוס"
356,"דייהו","לגנזה"
357,"דייהו","מאטיס"
358,"דייהו","נובירה"
